,sc_id,msnv_id,intervention,seg_start_stamp,trigger_start_stamp,fade_stamp,seg_end_stamp,firstfixation_stamp,trigger_delay,numfixations,timetofirstfixation,trigger_to_fixation_time,imm_processed
829,46,3,3_ref_105_rule,84140,148618.0,177579.0,231079,150252.0,64478.0,9.0,66112.0,1634.0,1
830,46,3,3_ref_102_rule,84140,177579.0,186539.0,231079,179307.0,93439.0,10.0,95167.0,1728.0,1
832,46,5,5_ref_100_rule,441758,468048.0,478840.0,583909,549575.0,26290.0,11.0,107817.0,81527.0,0
833,46,5,5_ref_101_rule,441758,478840.0,484560.0,583909,558685.0,37082.0,7.0,116927.0,79845.0,0
834,46,5,5_ref_103_rule,441758,484560.0,504262.0,583909,502007.0,42802.0,20.0,60249.0,17447.0,1
836,46,9,9_ref_101_rule,1035862,1054223.0,1062425.0,1085494,1073769.0,18361.0,2.0,37907.0,19546.0,0
839,46,20,20_ref_100_rule,1311944,1320502.0,1329562.0,1341890,1334612.0,8558.0,4.0,22668.0,14110.0,0
841,46,27,27_ref_103_rule,1126890,1144828.0,1159559.0,1199489,1184683.0,17938.0,7.0,57793.0,39855.0,0
842,46,27,27_ref_102_rule,1126890,1159559.0,1165596.0,1199489,1183167.0,32669.0,6.0,56277.0,23608.0,0
844,46,28,28_ref_100_rule,697589,708447.0,714417.0,771296,747104.0,10858.0,5.0,49515.0,38657.0,0
845,46,28,28_ref_101_rule,697589,714417.0,731429.0,771296,-1.0,16828.0,0.0,-1.0,,0
846,46,28,28_ref_104_rule,697589,731429.0,741754.0,771296,750843.0,33840.0,3.0,53254.0,19414.0,0
849,46,60,60_ref_101_rule,622924,632255.0,642123.0,658324,636148.0,9331.0,4.0,13224.0,3893.0,1
851,46,62,62_ref_100_rule,1356763,1378341.0,1387459.0,1435516,1379231.0,21578.0,14.0,22468.0,890.0,1
853,46,66,66_ref_101_rule,359224,382239.0,389059.0,426510,396573.0,23015.0,13.0,37349.0,14334.0,0
855,46,72,72_ref_100_rule,798160,809727.0,817171.0,866138,829713.0,11567.0,4.0,31553.0,19986.0,0
858,49,3,3_ref_106_rule,59443,77016.0,90422.0,135574,122158.0,17573.0,2.0,62715.0,45142.0,0
859,49,3,3_ref_101_rule,59443,90422.0,99323.0,135574,107701.0,30979.0,1.0,48258.0,17279.0,0
860,49,3,3_ref_100_rule,59443,99323.0,106626.0,135574,101881.0,39880.0,4.0,42438.0,2558.0,1
861,49,3,3_ref_105_rule,59443,106626.0,123229.0,135574,107926.0,47183.0,3.0,48483.0,1300.0,1
862,49,3,3_ref_102_rule,59443,123229.0,125902.0,135574,-1.0,63786.0,0.0,-1.0,,0
864,49,5,5_ref_100_rule,380229,411106.0,418209.0,466120,412199.0,30877.0,6.0,31970.0,1093.0,1
865,49,5,5_ref_101_rule,380229,418209.0,425029.0,466120,425373.0,37980.0,1.0,45144.0,7164.0,0
866,49,5,5_ref_103_rule,380229,425029.0,437594.0,466120,435891.0,44800.0,3.0,55662.0,10862.0,1
868,49,9,9_ref_101_rule,734033,753407.0,782492.0,799162,755335.0,19374.0,5.0,21302.0,1928.0,1
871,49,20,20_ref_100_rule,584379,592815.0,616205.0,622861,594289.0,8436.0,13.0,9910.0,1474.0,1
877,49,72,72_ref_100_rule,1096990,1118139.0,1150829.0,1160796,-1.0,21149.0,0.0,-1.0,,0
880,50,3,3_ref_106_rule,389788,407011.0,417853.0,439810,407959.0,17223.0,6.0,18171.0,948.0,1
882,50,5,5_ref_100_rule,49383,69595.0,97823.0,169423,114694.0,20212.0,7.0,65311.0,45099.0,0
883,50,5,5_ref_101_rule,49383,97823.0,107283.0,169423,118874.0,48440.0,2.0,69491.0,21051.0,0
886,50,20,20_ref_100_rule,208830,215908.0,224851.0,255814,217774.0,7078.0,2.0,8944.0,1866.0,1
888,50,27,27_ref_103_rule,469833,481788.0,485443.0,507122,490135.0,11955.0,12.0,20302.0,8347.0,0
891,50,60,60_ref_101_rule,865115,871522.0,878334.0,880071,-1.0,6407.0,0.0,-1.0,,0
893,50,66,66_ref_101_rule,779232,810686.0,813300.0,816440,816182.0,31454.0,1.0,36950.0,5496.0,0
896,51,3,3_ref_106_rule,980410,995650.0,1011313.0,1121436,1029525.0,15240.0,1.0,49115.0,33875.0,0
897,51,3,3_ref_101_rule,980410,1011313.0,1038509.0,1121436,1113716.0,30903.0,1.0,133306.0,102403.0,0
898,51,3,3_ref_100_rule,980410,1038509.0,1059035.0,1121436,1109694.0,58099.0,1.0,129284.0,71185.0,0
899,51,3,3_ref_105_rule,980410,1059035.0,1074065.0,1121436,1113533.0,78625.0,1.0,133123.0,54498.0,0
