,sc_id,msnv_id,intervention,seg_start_stamp,trigger_start_stamp,seg_end_stamp,trigger_delay,numfixations,timetofirstfixation,trigger_to_fixation_time
233,13,20,20_ref_100_rule,614475,621123.0,656454,6648.0,10.0,8894.0,2246.0
234,13,20,20_ref_101_rule,614475,630807.0,656454,16332.0,5.0,30862.0,14530.0
235,13,76,76_ref_101_rule,675674,684224.0,711400,8550.0,,,
236,13,76,76_ref_100_rule,675674,693167.0,711400,17493.0,,,
237,13,60,60_ref_101_rule,738580,746433.0,776204,7853.0,5.0,22743.0,14890.0
238,13,60,60_ref_100_rule,738580,751654.0,776204,13074.0,18.0,15099.0,2025.0
239,13,27,27_ref_103_rule,806117,819800.0,860453,13683.0,6.0,14797.0,1114.0
240,13,27,27_ref_102_rule,806117,839443.0,860453,33326.0,0.0,-1.0,
241,13,27,27_ref_104_rule,806117,845197.0,860453,39080.0,8.0,40346.0,1266.0
242,13,74,74_ref_101_rule,878082,891302.0,909644,13220.0,7.0,14399.0,1179.0
243,13,3,3_ref_106_rule,922626,932403.0,1009882,9777.0,2.0,10926.0,1149.0
244,13,3,3_ref_101_rule,922626,956360.0,1009882,33734.0,4.0,36217.0,2483.0
245,13,3,3_ref_100_rule,922626,965935.0,1009882,43309.0,0.0,-1.0,
246,13,3,3_ref_105_rule,922626,975469.0,1009882,52843.0,1.0,79561.0,26718.0
247,13,3,3_ref_102_rule,922626,988901.0,1009882,66275.0,0.0,-1.0,
248,13,3,3_ref_104_rule,922626,992839.0,1009882,70213.0,1.0,71725.0,1512.0
249,13,66,66_ref_101_rule,1032149,1055998.0,1087886,23849.0,9.0,32095.0,8246.0
250,13,66,66_ref_100_rule,1032149,1061693.0,1087886,29544.0,3.0,46143.0,16599.0
251,13,5,5_ref_100_rule,1098670,1121962.0,1132463,23292.0,6.0,28388.0,5096.0
252,13,62,62_ref_100_rule,1164674,1187353.0,1234649,22679.0,2.0,68676.0,45997.0
253,13,62,62_ref_101_rule,1164674,1196712.0,1234649,32038.0,2.0,66378.0,34340.0
254,13,30,30_ref_100_rule,1268293,1274492.0,1302761,6199.0,10.0,16180.0,9981.0
255,14,3,3_ref_106_rule,93408,105575.0,171687,12167.0,6.0,13690.0,1523.0
256,14,3,3_ref_101_rule,93408,118773.0,171687,25365.0,1.0,73332.0,47967.0
257,14,3,3_ref_100_rule,93408,133853.0,171687,40445.0,0.0,-1.0,
258,14,3,3_ref_105_rule,93408,142821.0,171687,49413.0,0.0,-1.0,
259,14,3,3_ref_102_rule,93408,150515.0,171687,57107.0,1.0,68361.0,11254.0
260,14,3,3_ref_104_rule,93408,157717.0,171687,64309.0,0.0,-1.0,
261,14,27,27_ref_103_rule,201225,220735.0,247043,19510.0,2.0,21027.0,1517.0
262,14,27,27_ref_102_rule,201225,237322.0,247043,36097.0,0.0,-1.0,
263,14,27,27_ref_104_rule,201225,241644.0,247043,40419.0,0.0,-1.0,
264,14,74,74_ref_101_rule,266137,288008.0,294976,21871.0,1.0,25624.0,3753.0
265,14,72,72_ref_100_rule,311889,323980.0,337679,12091.0,0.0,-1.0,
266,14,72,72_ref_102_rule,311889,328310.0,337679,16421.0,0.0,-1.0,
267,14,11,11_ref_101_rule,360880,371152.0,387037,10272.0,2.0,11484.0,1212.0
268,14,76,76_ref_101_rule,408547,419756.0,434770,11209.0,,,
269,14,76,76_ref_100_rule,408547,433103.0,434770,24556.0,,,
270,14,60,60_ref_101_rule,461252,469658.0,495145,8406.0,0.0,-1.0,
271,14,60,60_ref_100_rule,461252,491275.0,495145,30023.0,3.0,30495.0,472.0
272,14,5,5_ref_100_rule,520709,537972.0,587304,17263.0,5.0,18387.0,1124.0
273,14,5,5_ref_101_rule,520709,544225.0,587304,23516.0,0.0,-1.0,
274,14,5,5_ref_103_rule,520709,556124.0,587304,35415.0,2.0,40672.0,5257.0
275,14,62,62_ref_100_rule,634146,652008.0,671878,17862.0,1.0,34476.0,16614.0
276,14,62,62_ref_101_rule,634146,657537.0,671878,23391.0,2.0,24167.0,776.0
277,14,9,9_ref_101_rule,709577,724602.0,739198,15025.0,7.0,16622.0,1597.0
